17.990, 26.933, 32.097, -0.228
18.078, 25.796, 33.018, -0.229
18.165, 24.628, 33.898, -0.230
18.253, 23.430, 34.737, -0.231
18.341, 22.204, 35.533, -0.232
18.429, 20.950, 36.286, -0.233
18.516, 19.671, 36.996, -0.234
18.604, 18.368, 37.659, -0.236
18.692, 17.042, 38.278, -0.237
18.780, 15.696, 38.849, -0.238
18.867, 14.331, 39.373, -0.239
18.955, 12.948, 39.849, -0.240
19.043, 11.549, 40.277, -0.241
19.131, 10.137, 40.655, -0.242
19.218, 8.711, 40.984, -0.243
19.306, 7.276, 41.263, -0.244
19.394, 5.831, 41.492, -0.246
19.482, 4.380, 41.670, -0.247
19.569, 2.923, 41.798, -0.248
19.657, 1.462, 41.874, -0.249
19.745, 0.000, 41.900, -0.250
19.833, -1.462, 41.874, -0.251
19.920, -2.923, 41.798, -0.252
20.008, -4.380, 41.670, -0.253
20.096, -5.831, 41.492, -0.254
20.184, -7.276, 41.263, -0.256
20.271, -8.711, 40.984, -0.257
20.359, -10.137, 40.655, -0.258
20.447, -11.549, 40.277, -0.259
20.535, -12.948, 39.849, -0.260
20.622, -14.331, 39.373, -0.261
20.710, -15.696, 38.849, -0.262
20.798, -17.042, 38.278, -0.263
20.886, -18.368, 37.659, -0.264
20.973, -19.671, 36.996, -0.266
21.061, -20.950, 36.286, -0.267
21.149, -22.204, 35.533, -0.268
21.237, -23.430, 34.737, -0.269
21.325, -24.628, 33.898, -0.270
21.412, -25.796, 33.018, -0.271
21.500, -26.933, 32.097, -0.272
21.588, -28.037, 31.138, -0.273
21.676, -29.106, 30.140, -0.274
21.763, -30.140, 29.106, -0.276
21.851, -31.138, 28.037, -0.277
21.939, -32.097, 26.933, -0.278
22.027, -33.018, 25.796, -0.279
22.114, -33.898, 24.628, -0.280
22.202, -34.737, 23.430, -0.281
22.290, -35.533, 22.204, -0.282
22.378, -36.286, 20.950, -0.283
22.465, -36.996, 19.671, -0.284
22.553, -37.659, 18.368, -0.286
22.641, -38.278, 17.042, -0.287
22.729, -38.849, 15.696, -0.288
22.816, -39.373, 14.331, -0.289
22.904, -39.849, 12.948, -0.290
22.992, -40.277, 11.549, -0.291
23.080, -40.655, 10.137, -0.292
23.167, -40.984, 8.711, -0.293
23.255, -41.263, 7.276, -0.294
23.343, -41.492, 5.831, -0.296
23.431, -41.670, 4.380, -0.297
23.518, -41.798, 2.923, -0.298
23.606, -41.874, 1.462, -0.299
23.694, -41.900, 0.000, -0.300
23.782, -41.874, -1.462, -0.301
23.869, -41.798, -2.923, -0.302
23.957, -41.670, -4.380, -0.303
24.045, -41.492, -5.831, -0.304
24.133, -41.263, -7.276, -0.306
24.220, -40.984, -8.711, -0.307
24.308, -40.655, -10.137, -0.308
24.396, -40.277, -11.549, -0.309
24.484, -39.849, -12.948, -0.310
24.571, -39.373, -14.331, -0.311
24.659, -38.849, -15.696, -0.312
24.747, -38.278, -17.042, -0.313
24.835, -37.659, -18.368, -0.314
24.922, -36.996, -19.671, -0.316
25.010, -36.286, -20.950, -0.317
25.098, -35.533, -22.204, -0.318
25.186, -34.737, -23.430, -0.319
25.273, -33.898, -24.628, -0.320
25.361, -33.018, -25.796, -0.321
25.449, -32.097, -26.933, -0.322
25.537, -31.138, -28.037, -0.323
25.625, -30.140, -29.106, -0.324
25.712, -29.106, -30.140, -0.326
25.800, -28.037, -31.138, -0.327
25.888, -26.933, -32.097, -0.328
25.976, -25.796, -33.018, -0.329
26.063, -24.628, -33.898, -0.330
26.151, -23.430, -34.737, -0.331
26.239, -22.204, -35.533, -0.332
26.327, -20.950, -36.286, -0.333
26.414, -19.671, -36.996, -0.334
26.502, -18.368, -37.659, -0.336
26.590, -17.042, -38.278, -0.337
26.678, -15.696, -38.849, -0.338
26.765, -14.331, -39.373, -0.339
26.853, -12.948, -39.849, -0.340
26.941, -11.549, -40.277, -0.341
27.029, -10.137, -40.655, -0.342
27.116, -8.711, -40.984, -0.343
27.204, -7.276, -41.263, -0.344
27.292, -5.831, -41.492, -0.346
27.380, -4.380, -41.670, -0.347
27.467, -2.923, -41.798, -0.348
27.555, -1.462, -41.874, -0.349
27.643, -0.000, -41.900, -0.350
27.731, 1.462, -41.874, -0.351
27.818, 2.923, -41.798, -0.352
27.906, 4.380, -41.670, -0.353
27.994, 5.831, -41.492, -0.354
28.082, 7.276, -41.263, -0.356
28.169, 8.711, -40.984, -0.357
28.257, 10.137, -40.655, -0.358
28.345, 11.549, -40.277, -0.359
28.433, 12.948, -39.849, -0.360
28.520, 14.331, -39.373, -0.361
28.608, 15.696, -38.849, -0.362
28.696, 17.042, -38.278, -0.363
28.784, 18.368, -37.659, -0.364
28.871, 19.671, -36.996, -0.366
28.959, 20.950, -36.286, -0.367
29.047, 22.204, -35.533, -0.368
29.135, 23.430, -34.737, -0.369
29.222, 24.628, -33.898, -0.370
29.310, 25.796, -33.018, -0.371
29.398, 26.933, -32.097, -0.372
29.486, 28.037, -31.138, -0.373
29.573, 29.106, -30.140, -0.374
29.661, 30.140, -29.106, -0.376
29.749, 31.138, -28.037, -0.377
29.837, 32.097, -26.933, -0.378
29.925, 33.018, -25.796, -0.379
30.012, 33.898, -24.628, -0.380
30.100, 34.737, -23.430, -0.381
30.188, 35.533, -22.204, -0.382
30.276, 36.286, -20.950, -0.383
30.363, 36.996, -19.671, -0.384
30.451, 37.659, -18.368, -0.386
30.539, 38.278, -17.042, -0.387
30.627, 38.849, -15.696, -0.388
30.714, 39.373, -14.331, -0.389
30.802, 39.849, -12.948, -0.390
30.890, 40.277, -11.549, -0.391
30.978, 40.655, -10.137, -0.392
31.065, 40.984, -8.711, -0.393
31.153, 41.263, -7.276, -0.394
31.241, 41.492, -5.831, -0.396
31.329, 41.670, -4.380, -0.397
31.416, 41.798, -2.923, -0.398
31.504, 41.874, -1.462, -0.399
31.592, 41.900, -0.000, -0.400
31.680, 41.874, 1.462, -0.401
31.767, 41.798, 2.923, -0.402
31.855, 41.670, 4.380, -0.403
31.943, 41.492, 5.831, -0.404
32.031, 41.263, 7.276, -0.406
32.118, 40.984, 8.711, -0.407
32.206, 40.655, 10.137, -0.408
32.294, 40.277, 11.549, -0.409
32.382, 39.849, 12.948, -0.410
32.469, 39.373, 14.331, -0.411
32.557, 38.849, 15.696, -0.412
32.645, 38.278, 17.042, -0.413
32.733, 37.659, 18.368, -0.414
32.820, 36.996, 19.671, -0.416
32.908, 36.286, 20.950, -0.417
32.996, 35.533, 22.204, -0.418
33.084, 34.737, 23.430, -0.419
33.171, 33.898, 24.628, -0.420
33.259, 33.018, 25.796, -0.421
33.347, 32.097, 26.933, -0.422
33.435, 31.138, 28.037, -0.423
33.522, 30.140, 29.106, -0.424
33.610, 29.106, 30.140, -0.426
33.698, 28.037, 31.138, -0.427
33.786, 26.933, 32.097, -0.428
33.873, 25.796, 33.018, -0.429
33.961, 24.628, 33.898, -0.430
34.049, 23.430, 34.737, -0.431
34.137, 22.204, 35.533, -0.432
34.225, 20.950, 36.286, -0.433
34.312, 19.671, 36.996, -0.434
34.400, 18.368, 37.659, -0.436
34.488, 17.042, 38.278, -0.437
34.576, 15.696, 38.849, -0.438
34.663, 14.331, 39.373, -0.439
34.751, 12.948, 39.849, -0.440
34.839, 11.549, 40.277, -0.441
34.927, 10.137, 40.655, -0.442
35.014, 8.711, 40.984, -0.443
35.102, 7.276, 41.263, -0.444
35.190, 5.831, 41.492, -0.446
35.278, 4.380, 41.670, -0.447
35.365, 2.923, 41.798, -0.448
35.453, 1.462, 41.874, -0.449
35.541, 0.000, 41.900, -0.450
35.629, -1.462, 41.874, -0.451
35.716, -2.923, 41.798, -0.452
35.804, -4.380, 41.670, -0.453
35.892, -5.831, 41.492, -0.454
35.980, -7.276, 41.263, -0.456
36.067, -8.711, 40.984, -0.457
36.155, -10.137, 40.655, -0.458
36.243, -11.549, 40.277, -0.459
36.331, -12.948, 39.849, -0.460
36.418, -14.331, 39.373, -0.461
36.506, -15.696, 38.849, -0.462
36.594, -17.042, 38.278, -0.463
36.682, -18.368, 37.659, -0.464
36.769, -19.671, 36.996, -0.466
36.857, -20.950, 36.286, -0.467
36.945, -22.204, 35.533, -0.468
37.033, -23.430, 34.737, -0.469
37.120, -24.628, 33.898, -0.470
37.208, -25.796, 33.018, -0.471
37.296, -26.933, 32.097, -0.472
37.384, -28.037, 31.138, -0.473
37.471, -29.106, 30.140, -0.474
37.559, -30.140, 29.106, -0.476
37.647, -31.138, 28.037, -0.477
37.735, -32.097, 26.933, -0.478
37.822, -33.018, 25.796, -0.479
37.910, -33.898, 24.628, -0.480
37.998, -34.737, 23.430, -0.481
38.086, -35.533, 22.204, -0.482
38.173, -36.286, 20.950, -0.483
38.261, -36.996, 19.671, -0.484
38.349, -37.659, 18.368, -0.486
38.437, -38.278, 17.042, -0.487
38.525, -38.849, 15.696, -0.488
38.612, -39.373, 14.331, -0.489
38.700, -39.849, 12.948, -0.490
38.788, -40.277, 11.549, -0.491
38.876, -40.655, 10.137, -0.492
38.963, -40.984, 8.711, -0.493
39.051, -41.263, 7.276, -0.494
39.139, -41.492, 5.831, -0.496
39.227, -41.670, 4.380, -0.497
39.314, -41.798, 2.923, -0.498
39.402, -41.874, 1.462, -0.499
39.490, -41.900, 0.000, -0.500
39.578, -41.874, -1.462, -0.501
39.665, -41.798, -2.923, -0.502
39.753, -41.670, -4.380, -0.503
39.841, -41.492, -5.831, -0.504
39.929, -41.263, -7.276, -0.506
40.016, -40.984, -8.711, -0.507
40.104, -40.655, -10.137, -0.508
40.192, -40.277, -11.549, -0.509
40.280, -39.849, -12.948, -0.510
40.367, -39.373, -14.331, -0.511
40.455, -38.849, -15.696, -0.512
